,0,1,2,3,4
BALANCE_FREQUENCY,0.1253464176548051,0.55473919093509,-0.42461707921338543,0.2110239627340422,0.05527053208993868
INSTALLMENTS_PURCHASES,0.729484967321476,0.27769645648731933,0.01763379570115749,-0.21675153652035703,0.1527437507692104
PURCHASES_FREQUENCY,0.8624646835169979,0.1143493952294452,-0.16668450837291102,-0.01650826611441857,-0.3419970758679476
ONEOFF_PURCHASES_FREQUENCY,0.5912704914570087,0.20723236127044994,0.2513376975759136,0.5540508996427594,0.1251504026409861
PURCHASES_INSTALLMENTS_FREQUENCY,0.7708681279015999,0.14481205445708192,-0.2853631454608146,-0.3691961386244276,-0.3003143046784745
CASH_ADVANCE_FREQUENCY,-0.4841640385826001,0.7330867519248859,0.2690234454302005,-0.05147189058504702,-0.19243393222077024
CASH_ADVANCE_TRX,-0.4101671034368066,0.7338495222431931,0.31770919010755155,-0.06020785008385636,-0.28030990020221475
PURCHASES_TRX,0.8040767499044541,0.34622894440952295,0.06716897447717454,0.0811244860581658,0.1705652888775201
PRC_FULL_PAYMENT,0.40918541744872866,-0.28691549914257714,0.3908838594334118,-0.2755102071051906,-0.17123090277197903
MONTHLY_AVG_PURCHASE,0.7445143076620141,0.2991420887536142,0.24885077183632848,0.174671688946338,0.3065075585711267
MONTHLY_AVG_CASH_ADVANCE,-0.39557620171807517,0.6278444601254434,0.3630140543323181,-0.10815270500574846,-0.22755910342636196
LIMIT_USAGE,-0.34444347087103566,0.57014890355807,-0.4331951789629537,0.22918807702427993,0.23133999002446134
PAYMENT_MINPAYMENT,0.32998697919000475,-0.12130370202611032,0.7122840878614309,-0.16170001534845824,0.2367925072066477
PURCHASE_TYPE_NONE,-0.6430715807771558,0.18168113513208342,0.06108892205137029,-0.360042672339629,0.5369057330385929
PURCHASE_TYPE_ONEOFF_INSTALLMENT,0.6504422609705678,0.33133223803590406,-0.04649784285859054,-0.0023546634191834877,0.07520072874700529
PURCHASE_TYPE_ONE_OFF,-0.20780338005730548,-0.25710588525163436,0.26129974658801636,0.8167769282567249,-0.18561406865453775
